id,company,difficulty,format,prompt_clarity,prompt_reason,hints_quality,hints_reason,debrief_quality,debrief_reason,broken_note_acc,broken_note_reason,error
sql-e36,Best Buy,Easy,Standard,3,"Clear business context, output shape obvious",2,"One hint is useful, others could be more specific",3,Explains why LIMIT matters and its limitations,,,
sql-e37,Mixpanel,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-e39,Amazon,Easy,Standard,3,"Clear business context, output shape obvious",2,Hint reveals output shape but not the approach,3,"Explains why HAVING is needed, not just solution",,,
sql-e40,Plaid,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains the concept of SUM vs COUNT,,,
sql-e42,Slack,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the solution,3,Explains SQL pattern importance and conceptual value,,,
sql-e44,Spotify,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the SQL pattern matters,,,
sql-e47,Zendesk,Easy,Standard,3,Clear business context and output shape specified,2,Hint is vague and doesn't guide towards the solution,3,Explains the importance of identifying true churn,,,
sql-e49,Shopify,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-e51,Etsy,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why COUNT(DISTINCT) matters,,,
sql-e52,Amazon,Easy,Standard,3,Clear business context and output shape specified,2,Hint focuses on output but lacks SQL structure guidance,3,Explains JOIN necessity and common mistake,,,
sql-e54,Dropbox,Easy,Standard,3,Clear business context and output shape specified,2,Hint focuses on output but lacks SQL-specific guidance,3,Explains SQL pattern and common mistake clearly,,,
sql-e55,Intercom,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why COALESCE matters in production,,,
sql-e56,JPMorgan Chase,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains SQL pattern's importance beyond solution,,,
sql-e57,Shopify,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the solution,3,Explains SQL pattern importance and common mistakes,,,
sql-e58,HubSpot,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-e59,Pinterest,Easy,Standard,3,Clear business context and output shape required,3,Nudges thinking without revealing approach,3,Explains WHY SQL pattern matters,,,
sql-e60,Baremetrics,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the SQL pattern matters,,,
sql-e62,Google,Easy,Standard,3,"Clear business context, output shape obvious",2,Hint is useful but lacks depth in guiding the approach,3,Explains why the SQL pattern matters conceptually,,,
sql-e65,ChartMogul,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why filtering is critical,,,
sql-e67,Humana,Easy,Standard,3,Clear business context and output shape specified,2,Hint is vague and does not guide the solution,3,Explains SQL patterns and potential pitfalls,,,
sql-e68,Patreon,Easy,Standard,3,Clear business context and output shape specified,2,Hint is vague and doesn't guide the solution,3,Explains the pattern and common mistake,,,
sql-e69,Nordstrom,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-e70,Revolut,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-e72,Athenahealth,Easy,Standard,3,Clear business context and output shape specified,2,Hint focuses on output but lacks guidance on approach,3,Explains the conceptual importance of LEFT JOIN,,,
sql-e74,ASOS,Easy,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains the significance of SQL pattern,,,
sql-e77,Athenahealth,Easy,Standard,3,Clear business context and output shape specified,3,Nudges thinking without revealing the approach,3,Explains the SQL pattern and its importance,,,
sql-e78,Klaviyo,Easy,Standard,3,"Clear business context, output shape obvious",2,Hint focuses on output but lacks guidance on approach,3,Explains SQL pattern importance and conceptual value,,,
sql-e81,Stripe,Easy,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,2,Explains SQL pattern but lacks deeper insight,,,
sql-e86,Zynga,Medium,Standard,3,"Clear business context, output shape obvious",2,Hint is useful but lacks guidance on percent rank calculation,3,"Explains why the pattern matters, not just what it does",,,
sql-m01,Gainsight,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,"Explains SQL pattern importance, not just solution",,,
sql-m04,Wayfair,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why conditional aggregation matters,,,
sql-m07,Pinterest,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why pattern matters conceptually,,,
sql-m09,Instacart,Medium,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains SQL pattern importance and concepts,,,
sql-m10,Amplitude,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL patterns matter conceptually,,,
sql-m13,Stripe,Medium,Standard,3,"Clear business context, output shape obvious",2,Hints nudge thinking but could be more specific,3,Explains why SQL patterns matter conceptually,,,
sql-m14,Netflix,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why patterns matter,,,
sql-m16,Shopify,Medium,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains why the SQL pattern matters,,,
sql-m17,HubSpot,Medium,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains the pattern and edge cases,,,
sql-m20,Amazon,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-m21,TikTok,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains SQL pattern significance,,,
sql-m23,Robinhood,Medium,Standard,3,Clear business context and output shape specified,2,Hints are somewhat vague and lack specificity,3,Explains the concept and alternative approaches,,,
sql-m24,Salesforce,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-m25,Shopify,Medium,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains SQL patterns and conceptual value,,,
sql-m26,Amplitude,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-m28,YouTube,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the SQL pattern matters,,,
sql-m29,Amplitude,Medium,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains the concept and why LEAD is useful,,,
sql-m30,Brex,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the pattern matters conceptually,,,
sql-m32,Stripe,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the pattern matters conceptually,,,
sql-m33,Amazon,Medium,Standard,3,Clear business context and output shape specified,2,Hints are somewhat guiding but could be more specific,3,Explains SQL patterns and their importance,,,
sql-m36,Zalando,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why temporal condition matters,,,
sql-m37,Shopify,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL patterns matter conceptually,,,
sql-m39,Mixpanel,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-m41,PayPal,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-m42,Teladoc,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the SQL pattern matters,,,
sql-m43,YouTube,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-m47,Shopify,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why the SQL pattern matters,,,
sql-m56,Spotify,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why relational division matters,,,
sql-m57,Amazon,Medium,Standard,3,Clear business context and output shape are specified.,3,Hints guide without revealing the solution steps.,3,Explains the significance of DENSE_RANK usage.,,,
sql-m61,TikTok,Medium,Standard,3,"Clear business context, output shape obvious",2,"Some hints useful, others too direct",3,Explains why SQL patterns matter,,,
sql-h14,Amplitude,Medium,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the solution,3,Explains the critical temporal condition,,,
sql-h22,Zocdoc,Medium,Standard,3,Clear business context and output shape are specified.,3,Hints guide without revealing the solution steps.,3,Explains the importance of SQL patterns and concepts.,,,
sql-h25,Amazon,Medium,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains why the SQL pattern matters,,,
sql-h27,JPMorgan Chase,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL patterns matter,,,
sql-h28,TikTok,Medium,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the solution,3,Explains the reasoning behind the SQL approach,,,
sql-h39,Doximity,Medium,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the solution,3,Explains the importance of COUNT(DISTINCT),,,
sql-h49,TikTok,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,"Explains SQL pattern importance, not just solution",,,
sql-m76,Workday,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-m77,Etsy,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why unique buyers matter conceptually,,,
sql-m78,DoorDash,Medium,Standard,3,"Clear business context, output shape obvious",2,Hints are useful but could be more specific,3,Explains why the pattern matters conceptually,,,
sql-h01,Mixpanel,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-h02,DoorDash,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why island grouping matters,,,
sql-h04,Shopify,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-h05,Teladoc,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-h07,Shopify,Hard,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the approach,3,Explains SQL pattern's business significance,,,
sql-h08,Amazon,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-h10,Stripe,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL patterns matter,,,
sql-h11,Teladoc,Hard,Standard,3,"Clear business context, output shape obvious",2,"Some hints are useful, others too direct",3,Explains why SQL pattern matters,,,
sql-h13,Amazon,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-h17,Shopify,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-h24,Shopify,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why LEFT JOIN matters conceptually,,,
sql-master07,Epic Systems,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,"Explains SQL pattern importance, not just solution",,,
sql-master13,Shopify,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why SQL pattern matters,,,
sql-master21,Cash App,Master,Standard,3,"Clear business context, output shape obvious",2,"Some hints are useful, others too direct",3,Explains why SQL pattern matters conceptually,,,
sql-h31,Salesforce,Hard,Standard,3,Clear business context and output shape specified,3,Nudges without revealing the solution,3,Explains SQL patterns and their importance,,,
sql-h32,Stripe,Hard,Standard,2,Output shape and business context are clear but lacks explicit row count.,2,Some hints are vague and don't clearly guide the solution path.,2,Explains stakeholder need but lacks deeper SQL concept insight.,,,
sql-h33,TikTok,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why SQL pattern matters,,,
sql-h34,Doximity,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why SQL pattern matters,,,
sql-h41,Salesforce,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-h42,Stripe,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why the pattern matters,,,
sql-h48,Stripe,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why CTE pattern matters conceptually,,,
sql-h51,FedEx,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why pattern matters conceptually,,,
sql-h52,King,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the pattern matters conceptually,,,
sql-h53,Uber Eats,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the SQL pattern matters,,,
sql-h54,Workday,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-master01,Chime,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why SQL pattern matters,,,
sql-master02,Wayfair,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-master03,Shopify,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-master04,Salesforce,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-master05,Revolut,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the SQL pattern matters,,,
sql-master08,Amazon,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-master09,Salesforce,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-master10,Stripe,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,"Explains why pattern matters, not just what query does",,,
sql-master12,Optum,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-master14,Salesforce,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the SQL pattern matters,,,
sql-master18,Etsy,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why SQL pattern matters,,,
sql-master19,DHL,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why SQL patterns matter,,,
sql-master25,Reddit,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why patterns matter,,,
sql-master26,LinkedIn,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why recursion matters for growth analysis,,,
sql-master27,Supercell,Master,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains SQL pattern significance,,,
sql-f01,One Medical,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why integer division matters,3,Precisely describes wrong output and its impact,
sql-f02,Etsy,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why quantity matters in revenue,3,Precisely describes wrong output and why it misleads,
sql-f03,Shopify,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why COUNT(DISTINCT) matters,3,Precisely describes wrong output and why it misleads,
sql-f04,Stripe,Forensic,forensic,3,Clear business context and output shape specified,3,Nudges without revealing the solution,3,Explains the concept of NULL handling,3,Precisely describes the misleading output,
sql-f05,Notion,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,3,Precisely says wrong output and why it misleads,
sql-f06,Amazon,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,"Explains why pattern matters, not just solution",3,Precisely describes wrong output and why it misleads,
sql-f07,HubSpot,Forensic,forensic,3,Clear business context and output shape required,3,Nudges without revealing the approach,3,Explains the conceptual error and pattern,3,Precisely describes the wrong output and its impact,
sql-f08,Carbon Health,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why COUNT(DISTINCT) matters,3,Precisely describes wrong output and why it misleads,
sql-f09,Duolingo,Forensic,forensic,3,Clear business context and output shape specified,3,Nudges without revealing the solution,3,Explains the concept of grouping correctly,3,Precisely describes the bug and its impact,
sql-f10,Express Scripts,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why pattern matters conceptually,3,Precisely describes wrong output and why it misleads,
sql-f11,DoorDash,Forensic,forensic,3,"Clear business context, output shape obvious",3,Each hint nudges thinking without revealing approach,3,Explains why the pattern matters conceptually,3,Precisely describes wrong output and why it misleads,
sql-f12,Shopify,Forensic,forensic,3,"Clear business context, output shape obvious",3,Each hint nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,3,Precisely describes wrong output and why it misleads,
sql-f13,eBay,Forensic,forensic,3,Clear business context and output shape,3,Nudges without revealing the solution,3,Explains SQL pattern importance,3,Precise output and why it misleads,
sql-f14,DoorDash,Forensic,forensic,3,Clear business context and output shape required,2,Hints are useful but could be more direct,3,Explains why the SQL pattern matters,3,Precisely describes wrong output and why it misleads,
sql-f15,Supercell,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,3,Precisely explains wrong output and why it misleads,
sql-f16,Supercell,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,3,Precisely says wrong output and why it misleads,
sql-f17,King,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,"Explains why pattern matters, not just solution",3,Precisely describes wrong output and why it misleads,
sql-f18,Amazon,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,"Explains why pattern matters, not just solution",3,Precisely describes wrong output and why it misleads,
sql-f19,Uber Eats,Forensic,forensic,3,"Clear business context, output shape obvious",3,Each hint nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,3,Precisely says what wrong output looks like and why,
sql-f20,Etsy,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why pattern matters conceptually,3,Precisely explains wrong output and why,
sql-f21,Reverb,Forensic,forensic,3,"Clear business context, output shape obvious",3,Each hint nudges thinking without revealing approach,3,Explains why the pattern matters conceptually,3,Precisely describes wrong output and why it misleads,
sql-f22,Calm,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why pattern matters conceptually,3,Precisely describes wrong output and why it misleads,
sql-f23,Notion,Forensic,forensic,3,"Clear business context, output shape obvious",3,Each hint nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,3,Precisely describes wrong output and why it misleads,
sql-f24,DoorDash,Forensic,forensic,3,"Clear business context, output shape obvious",3,Each hint nudges without revealing approach,3,Explains why SQL pattern matters,3,Precisely describes wrong output and why it misleads,
sql-f25,Etsy,Forensic,forensic,3,Clear business context and output shape required,3,Each hint nudges without revealing the approach,3,Explains why survivorship bias matters,3,Precisely describes wrong output and why it misleads,
sql-f26,Salesforce,Forensic,forensic,3,Clear business context and output shape specified,3,Nudges without revealing the solution,3,Explains the underlying SQL pattern and its importance,3,Precisely describes the wrong output and its misleading nature,
sql-f27,Shopify,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the pattern matters,3,Precisely describes wrong output and why it misleads,
sql-f28,One Medical,Forensic,forensic,3,Clear business context and output shape required,3,Nudges without revealing the approach,3,Explains why granularity matters,3,Precisely describes wrong output and its impact,
sql-f29,Revolut,Forensic,forensic,3,"Clear business context, output shape obvious",2,"First hint is direct, second provides example",3,Explains why the pattern matters,3,Precisely describes wrong output and why it misleads,
sql-f30,Intercom,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,3,Precisely says wrong output and why it misleads,
sql-f31,JPMorgan Chase,Forensic,forensic,3,Clear business context and output shape specified,2,Hints are somewhat indirect but lack specificity,3,Explains the conceptual error and its implications,3,Precisely describes the error and its impact,
sql-f32,Amazon,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why pattern matters,3,Precisely describes wrong output and why it misleads,
sql-f33,HubSpot,Forensic,forensic,3,"Clear business context, output shape obvious",3,Each hint nudges thinking without revealing approach,3,Explains why the SQL pattern matters,3,Precisely says what wrong output looks like and why it misleads,
sql-f34,Stripe,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why pattern matters conceptually,3,Precisely describes error and misleading output,
sql-f35,Flipkart,Forensic,forensic,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,3,Precisely says wrong output and why it misleads,
sql-meesho-01,Meesho,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why COUNT(DISTINCT) matters,,,
sql-meesho-02,Meesho,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-meesho-03,Meesho,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-meesho-04,Meesho,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-meesho-05,Meesho,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why category breadth matters,,,
sql-meesho-06,Meesho,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL patterns matter conceptually,,,
sql-meesho-07,Meesho,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-meesho-08,Meesho,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the SQL pattern matters,,,
sql-meesho-09,Meesho,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the analysis matters conceptually,,,
sql-meesho-10,Meesho,Medium,Standard,3,"Clear business context, output shape obvious",3,Nudges without revealing approach,3,Explains why NTILE matters conceptually,,,
sql-meesho-11,Meesho,Hard,Standard,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why growth accounting matters,,,
sql-sw01,Swiggy,Medium,query,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters,,,
sql-sw02,Swiggy,Hard,query,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why the analysis matters conceptually,,,
sql-sw03,Swiggy,Medium,query,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains WHY SQL pattern matters,,,
sql-sw04,Swiggy,Hard,query,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,"Explains SQL pattern importance, not just solution",,,
sql-sw05,Swiggy,Hard,query,3,"Clear business context, output shape obvious",3,Nudges thinking without revealing approach,3,Explains why SQL pattern matters conceptually,,,
sql-sw06,Swiggy,Forensic,forensic,3,Clear business context and output shape required,3,Nudges without revealing the approach,3,Explains why the bugs matter conceptually,3,Precisely describes wrong output and why it's misleading,
